source_id	source_path	source_hash	target_paths	behavior_contract	validator
SRC-001	pi-mono/packages/coding-agent/src/cli/args.ts	5bd31a9b22943d4479539f2c90891ce83641bdea96da6e7a3b8f2c1ecd0b3593	Docs/learn/files/pi-mono/packages/coding-agent/src/cli/args.ts_transform.md;src/core.rs	Two public modes and typed rejection	cargo test; mode scan
SRC-002	pi-mono/packages/coding-agent/src/main.ts	bf990fbe55858919b59ca51562058bfda773e5ddff9937f54743c7dae486a60b	Docs/learn/files/pi-mono/packages/coding-agent/src/main.ts_transform.md;src/core.rs	Pre-side-effect dispatch and shared core	invalid-mode probe
SRC-003	pi-mono/packages/coding-agent/src/modes/rpc/jsonl.ts	95723d349fcebad1f1da7ce103d02ba7d5e2c876b7d178d41d8b56beedbd93e0	Docs/learn/files/pi-mono/packages/coding-agent/src/modes/rpc/jsonl.ts_transform.md;src/protocol.rs	LF-only framing and UTF-8 safety	protocol tests
SRC-004	pi-mono/packages/coding-agent/src/modes/rpc/rpc-mode.ts	3e7c2374eefd3e2d74720ea5b32f78040ac3252e1c21fd5f609353e50d27d222	Docs/learn/files/pi-mono/packages/coding-agent/src/modes/rpc/rpc-mode.ts_transform.md;src/headless.rs	Long-lived stdio command/event loop	tools/headless_smoke.sh
SRC-005	pi-mono/packages/coding-agent/src/core/session-manager.ts	404b056c6b60125470e2e3d94b310f99419a93b52739a848b208256fc307dc73	Docs/learn/files/pi-mono/packages/coding-agent/src/core/session-manager.ts_transform.md;src/session.rs	Versioned durable recovery	cargo test
SRC-006	pi-mono/packages/tui/src/tui.ts	c66359caeee468529dae65905401d67b7ba3dfaaae19a145e94bae7601bb1d31	Docs/learn/files/pi-mono/packages/tui/src/tui.ts_transform.md;src/tui.rs	Coalesced diff and resize-safe frame	TUI tests
SRC-007	pi-mono/packages/tui/src/terminal.ts	3b006ac13d7674f2eb64108df8938a3b5092c15cfbc358d0b7e6592a160d01d6	Docs/learn/files/pi-mono/packages/tui/src/terminal.ts_transform.md;src/tui.rs	Owned terminal cleanup	TUI cleanup tests
SRC-008	b3ehive/docs/blueprint.md	524535f012dde08afcd3f74a155e3bef6d66cae9c1e90ac0be38223725e8e2e0	Docs/learn/files/b3ehive/docs/blueprint.md_transform.md;Docs/Zenpi_Execution_Blueprint.md	Single authority and DAG	tools/validate_blueprint.py
SRC-009	b3ehive/looper-cron-builder/references/b3ehive-bridge-contract.md	b0d49aeaf50bac18546b1eff8178887360e8e2211cb4c590db5ba27a57362869	Docs/learn/files/b3ehive/looper-cron-builder/references/b3ehive-bridge-contract.md_transform.md;src/b3.rs	Bounded records and side-effect gates	b3 unit tests
SRC-010	codex-rust-deslop/codex-0.148-rust-refactor-report.zh-CN.md	e92528d14bd26369ac7b7fbfc1edc87fa10fe3cbd8f22876a25d4c3cf5261be2	Docs/learn/files/codex-rust-deslop/codex-0.148-rust-refactor-report.zh-CN.md_transform.md;Docs/quality/rust-deslop-gate.md	Ownership, typed failures, cleanup	cargo fmt/clippy/test
